iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
51,93.23318219184875,0.7965040873395149,4.2309855745847504e-07,2.095215325977149,0.8751839564711086,1.892973261257057,0.0,0.0,0.2010850074635915,0.013445835612417798,7.306113954129431,0.5,0.4568795130255425,2.7915862383072283,119091656.52406344,119091660.029696,3.552713678800501e-15,True,48.0,-11.272405677499549,53031.2432706643,1.432923664723979e-05,3.3128953447203457e-06,119091660.029696,4.368199386768019e-10,-4.7726809291840305e-12
52,95.08554315567017,0.7965040866830606,1.4741934611475395e-06,2.09521532600208,0.8751839564711159,1.8929732612916337,0.0,0.0,0.20108500739780136,0.01344583560833093,7.30611395412975,0.5,0.4568795130255423,2.7915862383167034,1659794280.5706327,1659794329.4291952,8.881784197001252e-16,False,51.0,-11.272405677499552,-739102.5728564998,0.00024776171417055195,4.230447935427151e-05,1659794329.4291952,3.1342096684487705e-11,3.544783479708992e-13
53,96.92809534072876,0.7965040875057319,1.847464412653448e-06,2.0952153259708863,0.8751839564710652,1.8929732612483576,0.0,0.0,0.20108500748042274,0.01344583561346357,7.306113954129604,0.5,0.45687951302552937,2.7915862383050203,32500937.650045916,32500938.606749993,5.684341886080802e-14,True,44.0,-11.272405677500194,14472.595377608499,5.8376373310146475e-06,3.5983551960327986e-07,32500938.606749993,1.6006190650486087e-09,-1.7514602783982343e-11
54,98.78921723365784,0.7965040873199452,4.1721882302925296e-07,2.095215325977924,0.8751839564710575,1.8929732612581296,0.0,0.0,0.2010850074617859,0.013445835612305862,7.306113954129589,0.5,0.45687951302552854,2.791586238307713,117436658.2535599,117436661.71049571,3.552713678800501e-15,True,48.0,-11.272405677500089,-52294.27116378005,2.3763199146895107e-05,4.899531219848541e-06,117436661.71049571,4.4297588642902536e-10,4.875006547480736e-12
55,100.64334797859192,0.7965040883256443,2.258486647893035e-06,2.09521532593993,0.8751839564710534,1.8929732612053434,0.0,0.0,0.20108500756288877,0.013445835618586465,7.306113954130317,0.5,0.45687951302552826,2.791586238293204,2542829906.609687,2542829981.461716,8.881784197001252e-16,False,51.0,-11.272405677500073,1132316.3132541454,0.0004581388759942552,0.00010762412742160166,2542829981.461716,2.0457967306067825e-11,-1.8149295722123477e-13
56,102.48242568969727,0.7965040872673542,2.37659059393561e-06,2.0952153259799773,0.8751839564709599,1.8929732612609764,0.0,0.0,0.20108500745680147,0.013445835611996648,7.306113954129873,0.5,0.4568795130255023,2.7915862383088497,20904711.938688744,20904712.554061126,1.1368683772161603e-13,True,43.0,-11.272405677501531,-9308.817480288892,2.9378965473352274e-06,1.743854838309744e-07,20904712.554061126,2.4885127785947927e-09,2.719399466121182e-11
57,104.33792448043823,0.7965040874061382,3.116654965982098e-07,2.0952153259747197,0.8751839564709593,1.8929732612536785,0.0,0.0,0.20108500747073235,0.013445835612862042,7.30611395412989,0.5,0.456879513025502,2.79158623830685,350904153.1658269,350904163.49521047,8.881784197001252e-16,False,51.0,-11.272405677501023,156256.81473589558,4.453133538188701e-05,7.3903907598094065e-06,350904163.49521047,1.4825014881070526e-10,-1.6119718616937763e-12
58,106.18576192855835,0.7965040871956944,4.7259136759060215e-07,2.0952153259826947,0.8751839564709559,1.8929732612647487,0.0,0.0,0.2010850074496195,0.013445835611550513,7.306113954129887,0.5,0.4568795130255017,2.7915862383098924,266045288.36984074,266045296.20129606,1.7763568394002505e-15,True,49.0,-11.272405677501062,-118469.35236954471,4.503738342685352e-05,4.651094620555796e-06,266045296.20129606,1.9553666162232404e-10,2.166996038431399e-12
59,108.05729579925537,0.796504087259088,1.4236222317875765e-07,2.095215325980292,0.8751839564709578,1.892973261261413,0.0,0.0,0.2010850074559824,0.01344583561194578,7.306113954129877,0.5,0.45687951302550156,2.7915862383089807,160285614.56219494,160285619.2804339,8.881784197001252e-16,True,50.0,-11.27240567750106,71374.81801718076,2.1930930431788217e-05,2.586425230433065e-06,160285619.2804339,3.245557265047112e-10,-3.562467754395561e-12
60,109.93278217315674,0.7965040873811742,2.7416730076661286e-07,2.0952153259756683,0.8751839564709666,1.8929732612549903,0.0,0.0,0.20108500746823482,0.013445835612706902,7.3061139541298825,0.5,0.4568795130255012,2.791586238307222,308684938.4108819,308684947.4974791,8.881784197001252e-16,False,51.0,-11.272405677501043,137456.6955028645,3.148753498370405e-05,3.631747491184001e-06,308684947.4974791,1.6852655792692258e-10,-1.8361713714781592e-12
