iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
36,1.555919885635376,40000009.588827975,0.012165972392859107,100.43980672820801,100.43980092314365,0.034148485314539845,0.0,0,0.0,0.0,-331.8495582411665,-120517.6976336397,284663.3443652137,46.46499606861445,46.46499606861445,optimal,13.0,5.643107890340546e-17,-0.038100860866076,-0.03810086086607606,1.6432639938303663e-16,5.934555245591626e-13,0.13727445401477303,0.08862938119652508,0.001149630084437341,1.0,23.0
37,1.5970430374145508,40000009.585553646,0.005845245023330567,78.93060429684677,78.93060429680135,8.4671472752437e-05,0.0,0,0.0,0.0,-14.617880704899633,-2735717.251506797,284663.3443652137,79.71498516114576,79.71498516114576,optimal,10.0,2.4704464908389054e-13,-0.003679108861781036,-0.0036791088620280795,1.5876148299295693e-16,8.553260396686331e-14,0.012221067179627797,0.47829690000000014,0.00561421203525141,1.0,7.0
38,1.6392524242401123,40000009.583619386,0.023916155398555787,143.48613962309733,143.4861259635495,0.06260919570335287,0.0,0,0.0,0.0,-126.16686971590102,-317030.0911004175,284663.3443652137,5.420634692575601,5.420634692575601,unknown,13.0,1.7096186976014732e-18,-0.0926237671182798,-0.09262376711827978,1.1933108512861621e-16,8.06426124449178e-12,0.45707107333351665,0.0523347633027361,0.0530664128128398,1.0,28.0
39,1.680572509765625,40000009.577107035,0.005722100045034159,76.39756310302414,76.39756310301145,4.402370198644146e-05,0.0,0,0.0,0.0,-100.81887208117156,-396740.4534725748,284663.3443652137,24.96030946054312,24.96030946054312,optimal,10.0,1.1254387113925702e-13,-0.006446657480894505,-0.006446657480999043,7.451340076288928e-16,1.492795673882329e-13,0.00969048981103284,0.5904900000000002,0.01213115073972961,1.0,5.0
40,1.7220277786254883,40000009.575674266,0.0031271816952956775,94.66547501189645,94.66547501189638,3.898932310002081e-06,0.0,0,0.0,0.0,-13.633683269327406,-2933807.0242776396,284663.3443652137,49.17634106467848,49.17634106467848,optimal,11.0,2.1498450452532925e-14,-0.006162196713352192,-0.0061621967133736145,1.7757770354588869e-16,2.971611389101471e-13,0.028579958101070675,0.10941898913151243,0.012150924056913738,1.0,21.0
41,1.7630529403686523,40000009.57493899,0.01314922557461797,321.95999944872347,321.95999938493276,0.006409063841931603,0.0,0,0.0,0.0,-356.2546522712863,-112278.57344813098,284663.3443652137,48.013321940007884,48.013321940007884,optimal,11.0,8.480850616138656e-13,-0.015942294686488466,-0.01594229468733655,9.425956699319565e-17,1.9766328093848197e-13,0.02226914026569689,0.5904900000000002,0.0005760178368199588,1.0,5.0
42,1.8042843341827393,40000009.565383784,0.005021149171585107,40.3738359435989,40.37383594356281,5.3980901827908305e-05,0.0,0,0.0,0.0,-112.49277438614907,-355578.1851437352,284663.3443652137,30.37608737150587,30.37608737150587,optimal,10.0,9.192772888133837e-14,-0.008903335587397067,-0.008903335587479272,7.889039883077627e-16,2.424656277976394e-14,0.00502118404135522,1.0,0.01756784951100544,1.0,0.0
43,1.845777988433838,40000009.563529566,0.005801041795867709,62.19709727797674,62.19709727790676,9.329960750403211e-05,0.0,0,0.0,0.0,3.3614485025417675,11899551.139543569,284663.3443652137,20.981302784085635,20.981302784085635,optimal,12.0,1.0890611874853008e-14,-0.0018549280324277543,-0.0018549280324386451,1.1083740193457864e-16,3.246518691513139e-13,0.006445646872997171,0.9,0.001770260568475621,1.0,1.0
44,1.8870396614074707,40000009.55964877,0.013275155170092796,27.66304456787726,27.66304456784259,4.379855628169428e-05,0.0,0,0.0,0.0,-27.493526277101484,-1454740.816100751,284663.3443652137,23.230457642270377,23.230457642270377,optimal,12.0,2.87778161879063e-13,-0.002605752568552676,-0.0026057525688404546,1.9903901585974322e-16,2.8845063307772035e-13,0.01475103750237982,0.9,0.005057934363607976,1.0,1.0
45,1.9289276599884033,40000009.55765094,0.005593357401870053,52.80876762484317,52.80876402870835,0.019488839958602264,0.0,0,2.388240199352465e-09,1.5921601329016432e-10,-1.333802961555795,-29985252.190660313,284663.3443652137,38.382692586434445,38.382692586434445,unknown,14.0,1.1027743236072362e-18,-0.023441097853536774,-0.02344109785353678,1.8174620914294038e-16,2.0911009659240657e-12,0.07791352634967363,0.07178979876918531,0.004750887096621662,1.0,25.0
